Name,Address,Address2,Address3,City,State,Zip,Phone,Latitude,Longitude
Sichuan Hot Pot Cuisine,2162 Rockwell Ave,,,Cleveland,OH,,+12165231188,41.5086,-81.67808
Emperor's Palace,2136 Rockwell Ave,,,Cleveland,OH,,+12168619999,41.508385,-81.678449
LJ Shanghai,3142 Superior Ave,,,Cleveland,OH,,+12164006936,41.51093,-81.66888
Siam Cafe,3951 St Clair Ave NE,,,Cleveland,OH,,+12163612323,41.516503,-81.6649155
Szechuan Cafe,2999 Payne Ave,Ste 145,,Cleveland,OH,,+12165151111,41.50811,-81.6691
Li Wah,2999 Payne Ave,Ste 102,,Cleveland,OH,,+12166966556,41.5083668054267,-81.669370655881
Szechuan Gourmet,1735 E 36th St,,,Cleveland,OH,,+12168819688,41.508505,-81.663319
Faith Sung Inc Dba Asian Kitchen,1301 E 9th St,,,Cleveland,OH,,+12165750808,41.504833,-81.690637
Great Taste Chinese Restaurant,1803 E 12th St,,,Cleveland,OH,,+12166859997,41.5019684,-81.6846008
Sakura,530 Euclid Ave,,,Cleveland,OH,,+12162740823,41.4996796,-81.6894913
Saigon Restaurant and Bar,2061 E 4th St,,,Cleveland,OH,,+12163442020,41.4989085,-81.6899104
Hunan One,7901 Euclid Ave,,,Cleveland,OH,,+12164210450,41.50451,-81.63322
Wasabi Restaurant,2123 E79th St,,,Cleveland,OH,,+12164597533,41.500843824783,-81.6334452753302
China Mountain III,7907 Cedar Ave,,,Cleveland,OH,,+12168814477,41.50049,-81.6327699
China Town II,2051 W 25th St,,,Cleveland,OH,,+12165749250,41.48365,-81.70253
China One,2765 E 55th St,,,Cleveland,OH,,+12168818881,41.4830741882324,-81.6509399414062
Hong Kong Kitchen,2802 Clark Ave,,,Cleveland,OH,,+12165668811,41.470184,-81.701073
China Dragon,2802 Clark Ave,,,Cleveland,OH,,+12165668811,41.4701004,-81.7010803
Panda Express,3244 Steelyard Dr,,,Cleveland,OH,,+12166611027,41.4653161,-81.6871265
Nüjoy,11311 Euclid Ave,,,Cleveland,OH,,+12169997016,41.5087236,-81.6059985
Wing Wah,5853 Broadway Ave,,,Cleveland,OH,,+12166416332,41.466499,-81.649334
Chopstick Chinese Restaurant,11332 Euclid Ave,,,Cleveland,OH,,+12167917998,41.5084707890612,-81.6051659116394
Inchin's Bamboo Garden,11440 Euclid Ave,,,Cleveland,OH,,+12162293003,41.5096408965652,-81.6041102477332
Phusion Cafe,11611 Euclid Ave,,,Cleveland,OH,,+12169780088,41.5109853006326,-81.6030496358871
China Kitchen,6208 Broadway Ave,,,Cleveland,OH,,+12166417070,41.46337,-81.64721
China Town 1,3718 Pearl Rd,,,Cleveland,OH,,+12167411202,41.4536049,-81.7015822
Teriyaki Express,13201 Superior Ave,,,East Cleveland,OH,,+12166005129,41.523271476023,-81.5907681360841
China One,11708 Buckeye Rd,,,Cleveland,OH,,+12169912222,41.4805908203125,-81.601432800293
