Name,Address,Address2,Address3,City,State,Zip,Phone,Latitude,Longitude
Sichuan Hot Pot Cuisine,2162 Rockwell Ave,,,Cleveland,OH,44114,+12165231188,41.5086,-81.67808
Emperor's Palace,2136 Rockwell Ave,,,Cleveland,OH,44114,+12168619999,41.508385,-81.678449
Ha Ahn Korean Restaurant,3030 Superior Ave E,,,Cleveland,OH,44114,+12166641152,41.51056,-81.6698
LJ Shanghai,3142 Superior Ave,,,Cleveland,OH,44114,+12164006936,41.51093,-81.66888
Siam Cafe,3951 St Clair Ave NE,,,Cleveland,OH,44114,+12163612323,41.516503,-81.6649155
Szechuan Cafe,2999 Payne Ave,Ste 145,,Cleveland,OH,44114,+12165151111,41.50811,-81.6691
Li Wah,2999 Payne Ave,Ste 102,,Cleveland,OH,44114,+12166966556,41.5083668054267,-81.669370655881
Szechuan Gourmet,1735 E 36th St,,,Cleveland,OH,44114,+12168819688,41.508505,-81.663319
Faith Sung Inc Dba Asian Kitchen,1301 E 9th St,,,Cleveland,OH,44114,+12165750808,41.504833,-81.690637
Great Taste Chinese Restaurant,1803 E 12th St,,,Cleveland,OH,44114,+12166859997,41.5019684,-81.6846008
Sung's House,1507 Euclid Ave,,,Cleveland,OH,44115,+12166967655,41.5010661,-81.6808243
Market Creations,1100 Superior Ave,,,Cleveland,OH,44114,+12169997087,41.5018714369745,-81.6862467633844
Sapporo Sushi,1940 E 6th St,,,Cleveland,OH,44114,+12165797000,41.5003699,-81.68961
Sakura,530 Euclid Ave,,,Cleveland,OH,44115,+12162740823,41.499748,-81.689162
Saigon Restaurant and Bar,2061 E 4th St,,,Cleveland,OH,44115,+12163442020,41.4989085,-81.6899104
Otani Noodle - Downtown,234 Euclid Ave,,,Cleveland,OH,44114,+12167621815,41.4994509,-81.6915759
Hanabi Japanese Restaurant,1313 W 6th St,,,Cleveland,OH,44113,+12162985060,41.4999177314058,-81.6987037927706
Tomo Sushi & Hibachi,1293 W 9th St,,,Cleveland,OH,44113,+12166964444,41.4994850158691,-81.7004547119141
Sakura Japanese Cuisine,2533 E 55th St,,,Cleveland,OH,44104,+12168818839,41.4893608,-81.6511536
Fat Cats,2061 W 10th St,,,Cleveland,OH,44113,+12165790200,41.48381,-81.68746
Parallax Restaurant and Lounge,2179 W 11th St,,,Cleveland,OH,44113,+12165839999,41.4824,-81.68902
Hunan One,7901 Euclid Ave,,,Cleveland,OH,44103,+12164210450,41.50451,-81.63322
Ginko Restaurant,2247 Professor Ave,,,Cleveland,OH,44113,+12162741202,41.48156,-81.68643
Wasabi Restaurant,2123 E79th St,,,Cleveland,OH,44103,+12164597533,41.500843824783,-81.6334452753302
Phnom Penh,1929 W 25th St,,,Cleveland,OH,44113,+12163572951,41.4852676391602,-81.7037353515625
China Mountain III,7907 Cedar Ave,,,Cleveland,OH,44103,+12168814477,41.50049,-81.6327699
China Town II,2051 W 25th St,,,Cleveland,OH,44113,+12165749250,41.48365,-81.70253
Corner 11 Bowl & Wrap,2391 W 11th St,,,Cleveland,OH,44113,+12167131757,41.47948,-81.68903
China One,2765 E 55th St,,,Cleveland,OH,44104,+12168818881,41.4830741882324,-81.6509399414062
IPoké Cleveland,10001 Chester Ave,,,Cleveland,OH,44106,+12167591001,41.50573,-81.61866
Xinji Noodle Bar,4211 Lorain Ave,,,Cleveland,OH,44113,+12164652439,41.47957,-81.71521
Mason's Creamery,4401 Bridge Ave,,,Cleveland,OH,44113,+12167621095,41.4804680356218,-81.7166946922636
Hong Kong Kitchen,2802 Clark Ave,,,Cleveland,OH,44109,+12165668811,41.470184,-81.701073
China Dragon,2802 Clark Ave,,,Cleveland,OH,44109,+12165668811,41.4701004,-81.7010803
Panda Express,3244 Steelyard Dr,,,Cleveland,OH,44109,+12166611027,41.4653161,-81.6871265
Ninja City Kitchen and Bar,6706 Detroit Ave,,,Cleveland,OH,44102,+12168627200,41.4839557604268,-81.7316197272125
Nüjoy,11311 Euclid Ave,,,Cleveland,OH,44106,+12169997016,41.5087236,-81.6059985
Wing Wah,5853 Broadway Ave,,,Cleveland,OH,44127,+12166416332,41.466499,-81.649334
Kenko Sushi & Teriyaki,11312 Euclid Ave,,,Cleveland,OH,44106,+12168627690,41.5082855,-81.6058426
Chopstick Chinese Restaurant,11332 Euclid Ave,,,Cleveland,OH,44106,+12167917998,41.5084707890612,-81.6051659116394
BIBIBOP Asian Grill,11431 Euclid Ave,,,Cleveland,OH,44106,+12169242750,41.509635,-81.60467
