Name,Address,Address2,Address3,City,State,Zip,Phone,Latitude,Longitude
Imperial Wok Chinese Restaurant,33825 Aurora Rd,,,Solon,OH,,+14402483833,41.3852806091309,-81.4384078979492
Peking Chef Chinese Restaurant,5900 Som Center Rd,,,Solon,OH,,+14405851221,41.3991050720215,-81.439208984375
Hunan Solon,6050 Enterprise Pkwy,,,Solon,OH,,+14402488836,41.395033,-81.463795
Red Bowl,28500 Miles Rd,,,Solon,OH,,+14403948575,41.42381,-81.47743
Tang's Wok,25780 Miles Rd,,,Bedford,OH,,+12163608688,41.4239311,-81.4969406
China Moon,10735 Ravenna Rd,,,Twinsburg,OH,,+13309633888,41.331638,-81.464009
China Dragon,87 Northfield Rd,,,Bedford,OH,,+14402325911,41.3802109,-81.5265274
Hakka Wok,1077 N Aurora Rd,,,Aurora,OH,,+13309958983,41.3473895484,-81.3782684536
Hunan by the Falls,508 E Washington St,,,Chagrin Falls,OH,,+14402470808,41.426765,-81.3738366
Magic Wok,1027 N Aurora Rd,,,Aurora,OH,,+13309950783,41.34568,-81.3763
Wing Kee,23161 Emery Rd,,,Cleveland,OH,,+12168310100,41.4357413332081,-81.5152082
New Asian Delight,5391 Warrensville Center Rd,,,Maple Heights,OH,,+12163321616,41.4137802,-81.5371323
Shanghai Wok by B & Y,10424 Northfield Rd,,,Northfield,OH,,+13304677020,41.3423913195638,-81.5295235812664
Empress Court,8307 Washington St,,,Chagrin Falls,OH,,+14405432920,41.414337,-81.345348
Teriyaki Express,4640 Warrensville Center Rd,,,North Randall,OH,,+12167145800,41.4346630937912,-81.5361987547711
P.F. Chang's,26001 Chagrin Blvd,,,Beachwood,OH,,+12162921411,41.4650887865235,-81.4937630295753
Zuki Sushi House,899 E Aurora Rd,,,Macedonia,OH,,+13307480999,41.3142427640058,-81.5064394794309
China Wok,6178 Dunham Rd,,,Maple Heights,OH,,+12165818885,41.391911,-81.576027
Ming Home,15720 Broadway Ave,,,Maple Heights,OH,,+12166627850,41.416596,-81.5719
Hunan Express,112 Barrington Town Square Dr,,,Aurora,OH,,+13309950806,41.3198836259191,-81.348926315764
Dragon Garden Restaurant,9415 Olde 8 Rd,,,Northfield,OH,,+13304680557,41.31627,-81.53838
Beijing Garden,7995 Darrow Rd,,,Twinsburg,OH,,+13304259795,41.283934,-81.440302
Fu Sheng,4071 Lee Rd,Ste 160,,Cleveland,OH,,+12167529986,41.448844,-81.563472
